arr_port^pax^aeropuertos
LHR     ^88809^London Heathrow Airport
OLP     ^110^Olympic Dam Airport
KHS     ^110^Khassab
INH     ^110^Inhambane
SZF     ^110^Samsun-Çarşamba Airport
SHW     ^100^Sharurah
MMO     ^100^Maio Airport
KAJ     ^100^Kajaani Airport
CRL     ^100^Brussels South Charleroi Airport
MAB     ^100^Maraba
KSD     ^100^Karlstad
TAY     ^100^Tartu lennujaam
HOG     ^100^Holguin Civ / Mil
HAD     ^100^Halmstad Airport
MQT     ^100^Sawyer International Airport
KAN     ^100^Kano
MHH     ^100^Marsh Harbour Airport
MLO     ^100^Milos
SVJ     ^100^Svolvaer / Helle
GOP     ^100^Gorakhpur Airport
AOK     ^100^Karpathos Airport
PDG     ^100^Minangkabau International Airport
LWB     ^100^Greenbrier Valley Airport
VNX     ^100^Vilanculos
WEI     ^100^Weipa Airport
MAU     ^100^Maupiti Airport
TVU     ^100^Matei Airport
SNR     ^100^Saint-Nazaire - Montoir
GCC     ^100^Gillette-Campbell County Airport
BQS     ^100^Ignatyevo Airport
DIU     ^100^Diu Airport
SJZ     ^100^São Jorge Airport
RNN     ^100^Rønne
OAG     ^100^Orange Airport
OZH     ^100^Zaporizhzhia / Mokraya
BBO     ^100^Berbera Airport
AGT     ^100^Aeropuerto Guarany
PAS     ^100^Paros Community Airport
VAN     ^90^Van Ferit Melen Airport
EAR     ^90^Kearney Municipal Airport
GUC     ^90^Gunnison County Airport
TAE     ^90^Daegu International Airport
GHA     ^90^Ghardaia
KOI     ^90^Kirkwall Airport
PQI     ^90^Northern Maine Regional Airport at Presque Isle
UIB     ^90^El Caraño Airport
KEM     ^90^Kemi
YKS     ^90^Yakutsk Airport
ZAL     ^90^Pichoy Airport
VAI     ^90^Vanimo Airport
HID     ^90^Horn Island Airport
ZAD     ^90^Zadar
PBC     ^90^Puebla International Airport
BHV     ^90^Bahawalpur Airport
WHK     ^90^Whakatane Airport
ABA     ^90^Abakan International Airport
ISG     ^90^Ishigaki Airport
GDQ     ^90^Gondar
KWJ     ^90^Kwangju Ab
FMN     ^90^Four Corners Regional Airport
DAM     ^90^Damascus Int. Airport
BQK     ^90^Brunswick Golden Isles Airport
UKS     ^90^Sevastopol International Airport
FDE     ^90^Førde Airport, Bringeland
CYS     ^90^Cheyenne Airport
ZBL     ^90^Biloela
ABY     ^90^Southwest Georgia Regional Airport
OTZ     ^90^Ralph Wien Memorial Airport
DUT     ^90^Unalaska Airport
CMX     ^90^Houghton County Memorial Airport
MCP     ^90^Macapa
MDG     ^90^Mudanjiang Hailang International Airport
VDS     ^90^Vadsø Airport
MVY     ^90^Martha's Vineyard Airport
XDS     ^90^Ottawa ON CA Railway Station
JOE     ^90^Joensuu Airport
YHM     ^90^Hamilton Airport
QYG     ^90^Railway Germany DE Railway Ger
HDS     ^90^Hoedspruit
GRI     ^80^Central Nebraska Regional Airport
CLD     ^80^McClellan-Palomar Airport
UET     ^80^Quetta International Airport
PTG     ^80^Pietersburg
SHR     ^80^Sheridan County Airport
RGA     ^80^Hermes Quijada International Airport
TEE     ^80^Tebessa
TBU     ^80^Fuaʻamotu International Airport
EFL     ^80^Cephalonia International Airport
DIL     ^80^Nicolau Lobato Airport
PVK     ^80^Aktion Airport
SMA     ^80^Santa Maria Acores
CBO     ^80^Awang Airport
GXF     ^80^Sayun
TAK     ^80^Takamatsu Airport
CLQ     ^80^Colima
LIG     ^80^Limoges-Bellegarde
AGX     ^80^Agatti Airport
NAL     ^80^Nalchik Airport
LZC     ^80^Lázaro Cárdenas Airport
KHN     ^80^Nanchang
LOK     ^80^Lodwar
VRK     ^80^Varkaus Airport
KLR     ^80^Kalmar
ZAM     ^80^Zamboanga
PHW     ^80^Hendrik Van Eck Airport
KVG     ^80^Kavieng Airport
WAE     ^80^Wadi al-Dawasir Domestic Airport
KOE     ^80^Kupang / El Tari
KOJ     ^80^Kagoshima Airport
LAQ     ^80^La Abraq Airport
INI     ^80^Nis
JLN     ^80^Joplin Regional Airport
JAL     ^80^Lencero
LUO     ^80^Luena Airport
LUQ     ^80^San Luis Aerodrome
LFR     ^80^La Fria
KYA     ^80^Konya Airport
MHQ     ^80^Mariehamn Airport
RRS     ^70^Røros Airport
HUH     ^70^Huahine – Fare Airport
WYS     ^70^Yellowstone Airport
CVM     ^70^Ciudad Victoria Airport
OTH     ^70^Southwest Oregon Regional Airport
BRD     ^70^Brainerd-Crow Wing County Regional Airport
JRH     ^70^Jorhat Airport
QRW     ^70^Warri Airport
NLD     ^70^Nuevo Laredo International
YKF     ^70^Waterloo Well
LHW     ^70^Lanzhou Zhongchuan Airport
CBB     ^70^Jorge Wilsterman
RAB     ^70^Tokua Airport
BIM     ^70^Alice Town, Bimini
SOG     ^70^Sogndal / Haukåsen
NCU     ^70^Nukus / Karakalpakstan
ZOS     ^70^Cañal Bajo Carlos - Hott Siebert Airport
JPA     ^70^Joao Pessoa
VXO     ^70^Växjö Småland Airport
ART     ^70^Watertown International Airport
LPT     ^70^Lampang
JLR     ^70^Jabalpur Airport
LAI     ^70^Lannion
GFF     ^70^Griffith Airport
SUJ     ^70^Satu Mare
LWS     ^70^Lewiston – Nez Perce County Airport
NBE     ^70^Enfidha – Hammamet International Airport
NAV     ^70^Nevsehir
LDH     ^70^Lord Howe Island Airport
CBH     ^70^Bechar
TEX     ^70^Telluride Regional Airport
AJR     ^70^Arvidsjaur
PNI     ^70^Pohnpei International Airport
HGA     ^70^Hargeisa
BHQ     ^70^Broken Hill Airport
PLN     ^70^Pellston Regional Airport of Emmet County
GUR     ^70^Gurney Airport
PKE     ^70^Parkes Airport
BHK     ^70^Bukhara Airport
LEB     ^70^Lebanon Municipal Airport
CKS     ^70^Carajas / Maraba
BHB     ^70^Hancock County-Bar Harbor Airport
NGS     ^70^Nagasaki Airport
SUN     ^70^Friedman Memorial Airport
GNY     ^70^GAP Şanlıurfa Havaalanı
SUX     ^70^Sioux Gateway Airport/Col. Bud Day Field
HOR     ^70^Horta Airport
DLG     ^60^Dillingham Airport
APO     ^60^Antonio Roldán Betancourt Airport
NAO     ^60^Nanchong Airport
DBQ     ^60^Dubuque Regional Airport
JOI     ^60^Joinville
AQI     ^60^Qaysumah
AGF     ^60^Agen-la-Garenne
AOE     ^60^Anadolu University Airport
KRP     ^60^Karup Airport
KRO     ^60^Kurgan Airport
SCY     ^60^San Cristóbal Airport
CIC     ^60^Chico Municipal Airport
ZDH     ^60^Basel SBB Railway Station
KGC     ^60^Kingscote Airport
NDG     ^60^Qiqihar Sanjiazi Airport
KSY     ^60^Kars
YXC     ^60^Cranbrook, B. C.
DWC     ^60^Dubai AE Al Maktoum Intl
ESC     ^60^Delta County Airport
DCM     ^60^Castres–Mazamet Airport
CIY     ^60^Comiso Airport
MOD     ^60^Modesto City-County Airport
CEG     ^60^Hawarden
JYV     ^60^Jyvaskyla
TEB     ^60^Teterboro Airport
MVR     ^60^Salak Airport
DGE     ^60^Mudgee Airport
CFK     ^60^Chlef International Airport
MYA     ^60^Moruya Airport
YCG     ^60^Castlegar Airport
ALW     ^60^Walla Walla Regional Airport
TGG     ^60^Sultan Mahmud Airport
KNS     ^60^King Island Airport
ELU     ^60^Guemar Airport
MZH     ^60^Merzifon
MBI     ^60^Mbeya Airport
TBZ     ^60^Forūdgāh-e Beyn ol Melalī-ye Tabrīz
TJU     ^60^Kulob Airport
AMH     ^60^Arba Minch
YYR     ^60^Goose Bay Airport
BHY     ^60^Beihai Fucheng Airport
LEH     ^60^Le Havre-Octeville
OBO     ^60^Tokachi-Obihiro Airport
PSE     ^60^Mercedita Airport
BPN     ^60^Sepinggan International Airport
GRW     ^60^Graciosa Airport
HKK     ^60^Hokitika Aerodrome
TYN     ^60^Taiyuan Wusu International Airport
WAG     ^60^Wanganui Airport
GRO     ^60^Aeroport de Girona - Costa Brava
ILG     ^60^New Castle Airport
SVB     ^60^Sambava Airport
PUU     ^60^Puerto Asis
VSG     ^60^Luhansk International Airport
GOH     ^60^Nuuk Airport
PVH     ^60^Governador Jorge Teixeira de Oliveira International Airport
VCS     ^60^Con Dao Airport
BGF     ^60^Bangui
LMT     ^60^Klamath Falls Airport
VLL     ^60^Valladolid Airport
HOD     ^60^Hodeidah
VHC     ^60^Saurimo Airport
CYB     ^60^Gerrard Smith Airport
BCM     ^60^Bacău International Airport
SVP     ^60^Bie Silva Porto
SRP     ^60^Stord / Soerstokken
TWF     ^60^Twin Falls Airport
TBN     ^60^Waynesville-St. Robert Regional Airport
LRS     ^60^Leros
PPS     ^60^Puerto Princesa
NVK     ^60^Narvik Airport, Framnes
NVI     ^60^Navoi International Airport
JHG     ^60^Xishuangbanna Gasa Airport
POR     ^60^Pori Airport
GDX     ^60^Sokol Airport
BPT     ^60^Jefferson County Airport
PNP     ^50^Girua Airport
PMW     ^50^Brigadeiro Lysias Rodrigues Airport
YZV     ^50^Sept-Îles Airport
KSH     ^50^Kermanshah
LGP     ^50^Legaspi
BKZ     ^50^Bukoba Airport
TIN     ^50^Tindouf Airport
HMA     ^50^Hanty-Mansijsk
EGO     ^50^Belgorod International Airport
PIB     ^50^Pine Belt Regional Airport
YVP     ^50^Kuujjuaq Airport
USK     ^50^Usinsk Airport
PIR     ^50^Pierre Municipal Airport
SKE     ^50^Skien-Geiteryggen
SDY     ^50^Sidney-Richland Municipal Airport
MLX     ^50^Malatya / Erhac
KVD     ^50^Gyanca Airport
GST     ^50^Gustavus Airport
CGI     ^50^Cape Girardeau Municipal Airport
MRZ     ^50^Moree Airport
YYE     ^50^Fort Nelson Airport
TKG     ^50^Telukbetung / Beranti
SGD     ^50^Sønderborg Airport
AGR     ^50^Agra Airport
YKQ     ^50^Waskaganish Airport
PBD     ^50^Porbandar Airport
NZH     ^50^Manzhouli
RUT     ^50^Rutland - Southern Vermont Regional Airport
YLL     ^50^Lloydminister, Alta.
LWY     ^50^Lawas Airport
RDZ     ^50^Rodez-Marcillac Airport
YCB     ^50^Cambridge Bay Airport
BYC     ^50^Yacuiba Airport
WSZ     ^50^Westport
MYD     ^50^Malindi Airport
BVE     ^50^Brive-Vallée de la Dordogne
RGK     ^50^Gorno-Altaysk Airport
CZE     ^50^José Leonardo Chirino Airport
RHI     ^50^Rhinelander-Oneida County Airport
RIW     ^50^Riverton Regional Airport
LTX     ^50^Cotopaxi International Airport
ZAZ     ^50^Zaragoza Airport
LXA     ^50^Lhasa Gonggar Airport
JZH     ^50^Jiuzhai Huanglong Airport
STV     ^50^Surat Airport
YFB     ^50^Iqaluit Airport
TUK     ^50^Turbat International Airport
ZTH     ^50^Zakinthos Airport
EUN     ^50^Hassan I Airport
AZS     ^50^Samaná El Catey International Airport
YKM     ^50^Yakima Air Terminal Airport
CTM     ^40^Chetumal International Airport
ZFQ     ^40^Gare de Bordeaux-Saint-Jean
MCW     ^40^Mason City Municipal Airport
LCE     ^40^La Ceiba Airport
LTK     ^40^Lattakia
LYC     ^40^Lycksele Airport
LMN     ^40^Limbang Airport
MCX     ^40^Uytash Airport
LAU     ^40^Manda Airport
TIH     ^40^Tikehau Airport
ZIG     ^40^Ziguinchor
SVU     ^40^Savusavu Airport
THS     ^40^Sukhothai Airport
ZVE     ^40^Union Station
MAS     ^40^Momote Airport
THR     ^40^Mehrabad International Airport
ZUH     ^40^Zhuhai Sanzao Airport
ABB     ^40^RAF Abingdon
CND     ^40^Mihail Kogălniceanu International Airport
CMW     ^40^Camaguey Aeropuerto
LLI     ^40^Lalibela Airport
LRH     ^40^La Rochelle - île de Ré
DEC     ^40^Decatur Airport
KZS     ^40^Kastelorizo Airport
ACI     ^40^Alderney Airport
MUR     ^40^Marudi Airfield
XKH     ^40^Xieng Khouang Airport
JKL     ^40^Kalymnos Island National Airport
RAH     ^40^Rafha
IFO     ^40^Ivano-Frankivsk International Airport
AZN     ^40^Andizhan Airport
IMT     ^40^Ford Airport
GGA     ^40^La Graciosa ES Ferry Port
RBQ     ^40^Rurrenabaque
NQY     ^40^Saint Mawgan
XAP     ^40^Chapecó Airport
IYK     ^40^Inyokern Airport
NOV     ^40^Nova Lisboa Airport
NNY     ^40^Nanyang Airport
TUP     ^40^Tupelo Regional Airport
JIJ     ^40^Jijiga Airport
XJN     ^40^Valladolid Bus Station
BRN     ^40^Bern-Belp Airport
BAY     ^40^Baia Mare
BNI     ^40^Benin City
BBB     ^40^Benson Municipal Airport
HKN     ^40^Kimbe Airport
HEA     ^40^Aerodrom Gerat
PMY     ^40^Puerto Madryn, CHT
PLM     ^40^Sultan Mahmud Badaruddin II Airport
PKU     ^40^Sultan Syarif Kasim II International Airport
PKB     ^40^Wood County Airport
BJZ     ^40^Badajoz Airport
PIS     ^40^Poitiers-Biard
VPE     ^40^Ngjiva Pereira Airport
PHO     ^40^Point Hope Airport
GMZ     ^40^La Gomera Airport
GMB     ^40^Gambella Airport
VDZ     ^40^Valdez Airport
GLN     ^40^Goulimime Airport
HUI     ^40^Hue
AJI     ^40^Ağrı Airport
SYY     ^40^Stornoway Airport
KIT     ^40^Kithira Airport
TJA     ^40^Tarija
EAU     ^40^Chippewa Valley Regional Airport
YQD     ^40^The Pas Airport
KLV     ^40^Karlovy Vary
YTH     ^40^Thompson Weather Office, Man
KID     ^40^Kristianstad Airport
YMN     ^40^Makkovik Airport
TOD     ^40^Tioman
YJE     ^40^Alicante Railway Station
CAL     ^40^Campbeltown Airport
JTY     ^40^Astypalaia Airport
TKQ     ^40^Kigoma Airport
YTM     ^40^La Macaza / Mont-Tremblant International Inc Airport
ALS     ^40^San Luis Valley Regional Airport
MHC     ^40^Mocopulli Airport
KSA     ^40^Kosrae Airport
BZG     ^40^Bydgoszcz Ignacy Jan Paderewski Airport
DRT     ^40^Del Rio International Airport
JST     ^40^Johnstown-Cambria County Airport
FEG     ^40^Fergana International Airport
FEN     ^40^Fernando de Noronha Airport
RSH     ^40^Russian Mission Airport
DQA     ^40^Daqing Sartu Airport
CNJ     ^30^Cloncurry Airport
SZB     ^30^Subang/Sultan Abdul Aziz Shah Airport
YRT     ^30^Rankin Inlet Airport
BHS     ^30^Bathurst Airport
ZWE     ^30^Antwerpen-Centraal station
TKS     ^30^Tokushima Airport
BJI     ^30^Bemidji-Beltrami County Airport
YTY     ^30^Yangzhou Taizhou Airport
BXU     ^30^Bancasi Airport
YQZ     ^30^Quesnel Airport
BBN     ^30^Bario Airport
YBG     ^30^Bagotville, Que.
BVB     ^30^Boa Vista, Boa Vista Intl
XMS     ^30^Coronel E Carvajal Airport
TBW     ^30^Donskoye Airport
TCB     ^30^Treasure Cay
TPQ     ^30^Tepic, Nay.
YCO     ^30^Coppermine, N. W. T.
TDX     ^30^Trat Airport
XCH     ^30^Christmas Island Aerodrome
AOR     ^30^Sultan Abdul Halim Airport
TOY     ^30^Toyama Airport
WIC     ^30^Wick
BWT     ^30^Wynyard Airport
UDJ     ^30^Uzhhorod
TFF     ^30^Tefe
YXH     ^30^Medicine Hat Airport
AAB     ^30^Arrabury Airport
JHS     ^30^Sisimiut Airport
SRZ     ^30^El Trompillo Airport
RSD     ^30^Rock Sound International
KUK     ^30^Kasigluk Airport
GAY     ^30^Gaya Airport
KTE     ^30^Lapangan Terbang Kertih
MEH     ^30^Mehamn Airport
KCM     ^30^Kahramanmaraş Airport
RKD     ^30^Knox County Regional Airport
INL     ^30^Falls International Airport
DHM     ^30^Gaggal Airport
DIE     ^30^Andrakaka
KSM     ^30^Saint Marys Airport
MSJ     ^30^Misawa Ab
HOM     ^30^Homer Airport
SHC     ^30^Shire Inda Selassie Airport
RMF     ^30^Marsa Alam International Airport
KNU     ^30^Kanpur Civil Airport
KMQ     ^30^Komatsu Airport
KMI     ^30^Miyazaki Airport
PAH     ^30^Barkley Regional Airport
HIN     ^30^Sach'On Ab
EBJ     ^30^Esbjerg
RVK     ^30^Rørvik Airport, Ryum
NAA     ^30^Narrabri Airport
CPD     ^30^Coober Pedy Airport
LJG     ^30^Lijiang Airport
PUW     ^30^Pullman-Moscow Regional Airport
IXD     ^30^Allahabad Airport
LPP     ^30^Lappeenranta Airport
ERZ     ^30^Erzurum
LBE     ^30^Arnold Palmer Regional Airport
GOU     ^30^Garoua
OSY     ^30^Namsos Lufthavn
RBR     ^30^Rio Branco
NYM     ^30^Nadym Airport
GTE     ^30^Groote Eylandt Airport
NYT     ^20^Nay Pyi Taw
HYS     ^20^Hays Municipal Airport
JBR     ^20^Jonesboro Municipal Airport
IAM     ^20^In Aménas Airport
IBA     ^20^Ibadan Airport
WNP     ^20^Naga Airport
XFN     ^20^Xiangfan Airport
OMD     ^20^Oranjemund
WTL     ^20^Tuntutuliak Airport
INC     ^20^Yinchuan Hedong Airport
WBM     ^20^Wapenamanda Airport
WRG     ^20^Wrangell Airport
NRK     ^20^Norrköping Airport
OGX     ^20^Ouargla
AUG     ^20^Augusta State Airport
NSK     ^20^Norilsk-Alykel Airport
VOL     ^20^Anchialos Airport
COQ     ^20^Choibalsan Airport
HUU     ^20^Huanuco
PNK     ^20^Supadio Airport
UKA     ^20^Ukunda Airstrip
PVC     ^20^Provincetown Municipal Airport
UKX     ^20^Ust-Kut Airport
BKW     ^20^Raleigh County Memorial Airport
PUB     ^20^Pueblo Memorial Airport
UNG     ^20^Kiunga Airport
GRV     ^20^Grozny Airport
PSR     ^20^Aeroporto d'Abruzzo
PQS     ^20^Pilot Station Airport
PQC     ^20^Phu Quoc International Airport
HCR     ^20^Holy Cross Airport
PNT     ^20^Tte. Julio Gallardo Airport
HGR     ^20^Washington County Regional Airport
PAG     ^20^Pagadian Airport
PLX     ^20^Semey KZ
HKD     ^20^Hakodate Airport
PJG     ^20^Panjgur Airport
HMV     ^20^Hemavan
HOF     ^20^Al Ahsa
VEL     ^20^Vernal Airport
BFF     ^20^Western Nebraska Regional Airport
XHJ     ^20^Aachen DE Hbf Railway Station
PDT     ^20^Pendleton Municipal Airport
BEB     ^20^Benbecula Airport
PDS     ^20^Piedras Negras International
BDJ     ^20^Syamsudin Noor Airport
HPH     ^20^Cat Bi International Airport
APN     ^20^Alpena County Regional Airport
NGY     ^20^Nagoya Bus Station
KWA     ^20^Kwajalein International Airport
YUY     ^20^Rouyn Airport
MGW     ^20^Morgantown Municipal Airport
YVQ     ^20^Norman Wells Airport
YWH     ^20^Victoria Inner Harbour Airport
YWL     ^20^Williams Lake, B. C.
MEI     ^20^Key Field Airport
YXL     ^20^Sioux Lookout Airport
KUT     ^20^Kutaisi International Airport
MCN     ^20^Middle Georgia Regional Airport
MCK     ^20^McCook Municipal Airport
AGB     ^20^Augsburg Airport
YYQ     ^20^Churchill, Man.
KVX     ^20^Pobedilovo Airport
MAJ     ^20^Amata Kabua International Airport
KOZ     ^20^Ouzinkie Airport
YZR     ^20^Sarnia Airport
KWG     ^20^Kryvyi Rih International Airport
LYA     ^20^Luoyang Airport
LAR     ^20^Laramie Regional Airport
LUH     ^20^Ludhiana Airport
ACH     ^20^St. Gallen-Altenrhein Airport
LRE     ^20^Longreach Airport
LKL     ^20^Lakselv Banak Airport
ZVJ     ^20^Abu Dhabi AE Ek Bus Station
ZVK     ^20^Savannakhet Airport
LKG     ^20^Lokichoggio Airport
AAN     ^20^Al Ain International Airport
ZYN     ^20^Nîmes Railway Station
KRF     ^20^Kramfors Flygplats
MIM     ^20^Merimbula Airport
NDU     ^20^Rundu Airport
YKU     ^20^Chisasibi Airport
NCY     ^20^Annecy-Meythet
XQE     ^20^London GB Ebbsfleet Intl Rail
XQP     ^20^Quepos Managua Airport
XRF     ^20^Gare Saint-Charles
NAJ     ^20^Nakhchivan Airport
PYH     ^20^Puerto Ayacucho
MXZ     ^20^Meixian Airport
JSY     ^20^Syros Island National Airport
YGW     ^20^Kuujjuarapik Airport
YHD     ^20^Dryden Airport
AOO     ^20^Altoona-Blair County Airport
YIP     ^20^Willow Run Airport
MSS     ^20^Massena International Airport-Richards Field
MSE     ^20^Kent International Airport
MKM     ^20^Mukah Airport
AOJ     ^20^Aomori Airport
KGT     ^20^Kangding Airport
YMO     ^20^Moosonee Airport
KIJ     ^20^Niigata Airport
YOJ     ^20^High Level Airport
YPR     ^20^Prince Rupert, B. C.
YPX     ^20^Povungnituq
MNG     ^20^Maningrida Airport
MMU     ^20^Morristown Municipal Airport
YQK     ^20^Kenora Airport
MMH     ^20^Mammoth Lakes Airport
ALO     ^20^Waterloo Municipal Airport
KMS     ^20^Kumasi Airport
GMR     ^20^Totegegie Airport
OSW     ^20^Orsk Airport
EQS     ^20^Esquel Aerodrome
SOM     ^20^San Tome Private
ROO     ^20^Rondonópolis Airport
BTS     ^20^Bratislava Ivanka
FNJ     ^20^Pyongyang Sunan International Airport
BTK     ^20^Bratsk Airport
SKU     ^20^Skiros Airport
CIU     ^20^Chippewa County International Airport
TSF     ^20^Treviso / S. Angelo
FSP     ^20^Saint-Pierre
SKZ     ^20^Sukkur Airport
SLI     ^20^Solwezi
SLM     ^20^Salamanca Airport
DIJ     ^20^Dijon-Longvic
FUT     ^20^Pointe Vele Airport
SMX     ^20^Santa Maria Airport
DDG     ^20^Dandong Langtou Airport
DMB     ^20^Taraz Airport
BUA     ^20^Buka Airport
DND     ^20^Dundee / Riverside
EZS     ^20^Elazığ Airport
TNN     ^20^Tainan Airport
SCM     ^20^Scammon Bay Airport
SCV     ^20^Suceava / Salcea
EKO     ^20^Elko Regional Airport
ESU     ^20^Essaouira
TMR     ^20^Tamanrasset / Aguenna
EJH     ^20^Wejh
TRO     ^20^Taree Airport
BZO     ^20^Bolzano Dolomiti Airport
EIN     ^20^Eindhoven
RSA     ^20^Santa Rosa Aerodrome
ROP     ^20^Rota International Airport
CFN     ^20^Donegal Airport
SHD     ^20^Shenandoah Valley Regional Airport
DCN     ^20^Derby RAAF Curtin Base
CIJ     ^20^Cobija
GGG     ^20^Gregg County Airport
CXB     ^20^Cox's Bazar Airport
QDU     ^20^Duesseldorf DE Hbf Railway Sta
QJZ     ^20^Gare de Nantes
QUB     ^20^Ubari Airport
CSY     ^20^Cheboksary Airport
CTC     ^20^Catamarca Aero.
QUO     ^20^Akwa Ibom International Airport
GHB     ^20^Governor's Harbour Airport
CNM     ^20^Cavern City Air Terminal
GGW     ^20^Glasgow International Airport
CMF     ^20^Chambéry - Aix-les-Bains
GFN     ^20^Clarence Valley Regional Airport
SVA     ^20^Savoonga Airport
RDD     ^20^Redding Municipal Airport
SCC     ^20^Deadhorse Airport
RIB     ^20^Riberalta
TBG     ^20^Tabubil Airport
YZZ     ^10^Trail
SLU     ^10^Vigie Airport
EGC     ^10^Bergerac-Roumanière
YHO     ^10^Hopedale Airport
KAD     ^10^Kaduna
YGX     ^10^Gillam Airport
SDN     ^10^Sandane / Anda
MXX     ^10^Mora-Siljan Airport
CEC     ^10^Jack Mc Namara Field Airport
JQA     ^10^Qaarsut Airport
KVL     ^10^Kivalina Airport
PZU     ^10^Port Sudan International
CDV     ^10^Merle K. (Mudhole) Smith Airport
XZI     ^10^Metz FR Lorraine Tgv Rail Stn
SMK     ^10^St Michael Airport
JOS     ^10^Jos
ZSE     ^10^Pierrefonds Airport
KSQ     ^10^Karshi-Khanabad Air Base
CRI     ^10^Colonel Hill Airport
JNX     ^10^Cyclades Islands, Naxos Airport
SZA     ^10^Soyo Airport
NDB     ^10^Nouadhibou
CNY     ^10^Canyonlands Field
TMX     ^10^Timimoun Airport
CMG     ^10^Corumba
SOC     ^10^Adi Sumarmo International Airport
NOC     ^10^Connaught
NOJ     ^10^Noyabrsk Airport
YIH     ^10^Yichang Airport
ZSA     ^10^San Salvador Airport
MKG     ^10^Muskegon County Airport
CHU     ^10^Chuathbaluk Airport
TGM     ^10^Târgu Mureș Transilvania Airport
KWN     ^10^Quinhagak Airport
KZR     ^10^Kütahya Zafer Airport
JAV     ^10^Ilulissat Airport
YZP     ^10^Sandspit Airport
LUG     ^10^Lugano Airport
MLW     ^10^Spriggs Payne
CUM     ^10^Cumana
CXJ     ^10^Campo dos Bugres Airport
SKK     ^10^Shaktoolik Airport
DLZ     ^10^Dalanzadgad Airport
KPO     ^10^Pohang Airport
YUD     ^10^Umiujaq
CTL     ^10^Charleville Airport
MSZ     ^10^Namibe Airport
LPK     ^10^Lipetsk Airport
TIM     ^10^Moses Kilangin Airport
KKE     ^10^Kerikeri Airport
YMT     ^10^Chibougamau/Chapais Airport
TIU     ^10^Richard Pearse Airport
KGP     ^10^Kogalym International Airport
AKF     ^10^Kufra Airport
CYZ     ^10^Cauayan
TIZ     ^10^Tari Airport
DVL     ^10^Devils Lake Municipal Airport
DWD     ^10^Dawadmi Domestic Airport
MSL     ^10^Muscle Shoals Regional Airport
DZN     ^10^Dzezkazgan
KUH     ^10^Kushiro Airport
PZH     ^10^Fort Sandeman Airfield
IWK     ^10^Iwakuni JP Iwakuni Airport
TUB     ^10^Tubuai – Mataura Airport
VVZ     ^10^Illizi
ILD     ^10^Lleida-Alguaire Airport
ORB     ^10^Örebro Airport
ORU     ^10^Oruro Airport
BUL     ^10^Bulolo
OSR     ^10^Leoš Janáček Airport Ostrava
COD     ^10^Yellowstone Regional Airport
HYN     ^10^Taizhou Luqiao Airport
OXB     ^10^Bissau Aeroport
ERC     ^10^Erzincan
PBG     ^10^Plattsburgh Air Force Base
HSN     ^10^Zhoushan Airport
PED     ^10^Pardubice Airport
BFD     ^10^Bradford Regional Airport
AWZ     ^10^Ahwaz Airport
HOB     ^10^Hobbs Airport
BQB     ^10^Busselton Airport
GCK     ^10^Garden City Regional Airport
HFS     ^10^Hagfors Airport
HET     ^10^Hohhot
UUA     ^10^Bugulma Airport
RGS     ^10^Burgos Villafria Airport
UTP     ^10^U-Tapao International Airport
GDE     ^10^Gode Airport
BJF     ^10^Båtsfjord Airport
PSG     ^10^Petersburg Seaplane Base
UAK     ^10^Narsarsuaq Airport
GJL     ^10^Jijel Achouat
AXA     ^10^Clayton J. Lloyd International Airport
HUE     ^10^Humera Airport
ISE     ^10^Suleyman Demirel
WWK     ^10^Wewak
WUS     ^10^Nanping Wuyishan Airport
RSU     ^10^Yeosu Airport
ERS     ^10^Eros Airport
CWC     ^0^Chernovsty
DIG     ^0^Dêqên Shangri-La Airport
LYG     ^0^Lianyungang Airport
FUN     ^0^Funafuti International Airport
LXG     ^0^Luang Namtha Airport
CJJ     ^0^Cheongju International Airport
JOG     ^0^Adisucipto International Airport
XPJ     ^0^Montpellier FR St Roch Railway
LUM     ^0^Mangshi Airport
TUI     ^0^Turaif
FSZ     ^0^Shizuoka Airport
MJN     ^0^Majunga
BTH     ^0^Hang Nadim Airport
HSL     ^0^Huslia Airport
TGR     ^0^Touggourt
IPN     ^0^Usiminas Airport
YRL     ^0^Red Lake, Ont.
LUD     ^0^Luderitz Airport
JIK     ^0^Ikaria Airport
KMJ     ^0^Kumamoto Airport
SAB     ^0^Juancho E. Yrausquin Airport
NTG     ^0^Nantong Airport
XOP     ^0^Gare de Poitiers
PGA     ^0^Page Municipal Airport
VLV     ^0^Valera
YYU     ^0^Kapuskasing Airport
UYU     ^0^Uyuni BO Uyuni
STM     ^0^Santarem-Aeroporto
WUA     ^0^Wuhai
MCE     ^0^Merced Municipal Airport
HJJ     ^0^Zhijiang Airport
CXI     ^0^Cassidy International Airport
RIL     ^0^Garfield County Regional Airport
CZX     ^0^Changzhou Benniu Airport
AGM     ^0^Tasiilaq Heliport
SPP     ^0^Menongue Airport
KUS     ^0^Kulusuk Lufthavn
KUN     ^0^Kaunas
MDL     ^0^Mandalay International Airport
RJK     ^0^Rijeka/Krk
HLD     ^0^Dongshan Airport
YXN     ^0^Whale Cove Airport
BRL     ^0^Burlington Municipal Airport
KTL     ^0^Kitale Airport
VCT     ^0^Victoria Regional Airport
SNE     ^0^Preguiça Airport
AKY     ^0^Akyab
OZC     ^0^Labo Airport
IRJ     ^0^La Rioja Aero.
